imdb_id,movie_name,storyline,release_year,runtime,imdb_rating,vote_count,genre_hint,cleaned_story
tt12966276,Skategoat,"Leandre Sanders was born in Venice Beach, LA, into a world of gangs and crime. The only thing that kept him out of trouble was his love of skateboarding. While his older brothers joined the family tradition of running with gangs, Leandre - dubbed Skategoat - spent most of his days and nights at Venice Beach skatepark with his younger brother Leontay. He was so talented and determined that, at the age of 11, he caught the eye of filmmaker Van Alpert. Over the next ten years, Van documented Leandre's struggle to perfect his skateboarding and to survive. At 14-years old, Leandre was forced to leave his rapidly unravelling family life and started sleeping rough at the bowl of the skate park, relying on his friend Haden and the kindness of a local woman, Katie, who looked out for the two boys. And despite this adversity, Leandre never lost his drive to skate - Set against the visually palpable decline of LA, the decade captured by Van charts Leandre's journey to an internationally-respected skater who has perfected his own unique 'no stance' skate style. The result is a gritty reflection of what it takes to make it in the skating world - and what it takes to survive as a disadvantaged kid in the United States. Pulsing with a tactile sense of street style and punctuated by an incredible soundtrack. Skategoat is a story about the streets told from the streets, that proves anyone can seize their dream.",2024,20241h 24m,8.1,46,,leandre sanders born venice beach world gangs crime thing kept trouble love skateboarding older brothers joined family tradition running gangs leandre dubbed skategoat spent days nights venice beach skatepark younger brother leontay talented determined age caught eye filmmaker van alpert next ten years van documented leandre struggle perfect skateboarding survive years old leandre forced leave rapidly unravelling family life started sleeping rough bowl skate park relying friend haden kindness local woman katie looked two boys despite adversity leandre never lost drive skate set visually palpable decline decade captured van charts leandre journey internationally respected skater perfected unique stance skate style result gritty reflection takes make skating world takes survive disadvantaged kid united states pulsing tactile sense street style punctuated incredible soundtrack skategoat story streets told streets proves anyone seize dream
tt32032481,Sweet Release,"Two girl best friends and a young man take on a journey of self-discovery. Along the way, their bond deepens as they explore their sexual desires.",2024,20241h 42m,4.4,129,,two girl best friends young man take journey self discovery along way bond deepens explore sexual desires
tt27587485,Waves,A compromising record can change history.,2024,20242h 11m,7.7,2.9K,,compromising record change history
tt30021427,Ferry 2,"After losing his drug empire, Ferry Bouman seems to have found peace away from Brabant's underworld. Why would he put it all on the line and come back?",2024,20241h 34m,5.6,4.4K,,losing drug empire ferry bouman seems found peace away brabant underworld put line come back
tt29634258,Shepherds,"A young Montreal advertising executive, converted to a Provençal shepherd, has various misadventures with a civil servant who has cavalierly quit her job.",2024,20241h 53m,7.0,879,,young montreal advertising executive converted proven shepherd various misadventures civil servant cavalierly quit job
tt31434046,Don't Open the Door,"Far from civilization, in a frozen forest on an inhospitable mountainside, a group of researchers is attacked by an unidentified figure. The sole survivor, a young biologist, takes refuge in the isolated cabin of a mysterious man must live",2024,20241h 27m,6.5,8.5K,,far civilization frozen forest inhospitable mountainside group researchers attacked unidentified figure sole survivor young biologist takes refuge isolated cabin mysterious man must live
tt30496004,Chum!,"In a not so distant future, great white sharks have gone extinct. When a mad scientist plays god and genetically engineers a shark/human, he unleashes the highly viral monster on the unsuspecting citizens of a nearby small town.",2024,20241h 9m,3.2,104,,distant future great white sharks gone extinct mad scientist plays god genetically engineers shark human unleashes highly viral monster unsuspecting citizens nearby small town
tt33499541,Butchers Book Three: Bonesaw,"Three women find themselves being hunted by a vicious killer who slaughters people and hacks them up in his van, while a clever sheriff pieces together the clues he's leaving behind.",2024,20241h 47m,4.5,372,,three women find hunted vicious killer slaughters people hacks van clever sheriff pieces together clues leaving behind
tt15126712,Switch Up,"A man's world gets turned upside down and he finds himself stranded at a homeless shelter, where he meets a young widow. He begins to fall in love and to understand how helping others is the true path to finding happiness.",2024,20241h 45m,7.9,40,,man world gets turned upside finds stranded homeless shelter meets young widow begins fall love understand helping others true path finding happiness
tt34876472,The Family Business,"The Family Business is a Dark, Dramatic, Horror, Thriller where tensions rise among a twisted family of psychopaths who set out to create a very unique snuff film of epic proportions.",2024,20241h 29m,5.3,380,,family business dark dramatic horror thriller tensions rise among twisted family psychopaths set create unique snuff film epic proportions
